year_start,year_end,location_abbr,location_desc,data_source,question,response,data_value_unit,data_value_type,data_value,data_value_alt,data_value_footnote_symbol,data_value_footnote,low_confidence_limit,high_confidence_limit,stratification_category1,stratification_value,stratification_category2,stratification2,stratification_category3,stratification3,geolocation,location_id,topic_id,question_id,response_id,data_value_type_id,stratification_category_id1,stratification_category_id2,stratification_id2,stratification_category_id3,stratification_id3
2015,2019,SD,South Dakota,US Cancer DVT,"Prostate cancer mortality among all males, underlying cause",,"per 100,000",Crude Rate,20.2,20.2,,,18.4,22.2,Overall,Overall,,,,,POINT (-100.3735306369997 44.353130053000484),46,CAN,CAN05,,CRDRATE,OVERALL,,,,
2015,2019,TX,Texas,US Cancer DVT,"Cervical cancer mortality among all females, underlying cause",,"per 100,000",Crude Rate,2.9,2.9,,,2.8,3.0,Sex,Female,,,,,POINT (-99.42677020599967 31.827240407000488),48,CAN,CAN03,,CRDRATE,SEX,,,,
2015,2019,US,United States,US Cancer DVT,"Invasive cancer (all sites combined) mortality among all people, underlying cause",,Number,Number,314982.0,314982.0,,,0.0,0.0,Sex,Male,,,,,,59,CAN,CAN08,,NMBR,SEX,,,,
2015,2019,VT,Vermont,US Cancer DVT,"Prostate cancer mortality among all males, underlying cause",,"per 100,000",Crude Rate,23.0,23.0,,,20.7,25.5,Overall,Overall,,,,,POINT (-72.51764079099962 43.62538123900049),50,CAN,CAN05,,CRDRATE,OVERALL,,,,
2015,2019,WV,West Virginia,US Cancer DVT,"Breast cancer mortality among all females, underlying cause",,"per 100,000",Crude Rate,31.6,31.6,,,30.0,33.2,Sex,Female,,,,,POINT (-80.71264013499967 38.66551020200046),54,CAN,CAN02,,CRDRATE,SEX,,,,
2015,2019,WI,Wisconsin,US Cancer DVT,"Invasive cancer (all sites combined), incidence",,"per 100,000",Age-adjusted Rate,444.6,444.6,,,441.4,447.8,Sex,Female,,,,,POINT (-89.81637074199966 44.39319117400049),55,CAN,CAN07,,AGEADJRATE,SEX,,,,
2020,2020,ID,Idaho,NVSS,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",,Number,Number,25.0,25.0,,,0.0,0.0,Age,Age >=65,,,,,POINT (-114.3637300419997 43.682630005000476),16,DIA,DIA04,,NMBR,AGE,,,,
2015,2019,WY,Wyoming,US Cancer DVT,"Breast cancer mortality among all females, underlying cause",,Number,Number,66.0,66.0,,,0.0,0.0,Overall,Overall,,,,,POINT (-108.10983035299967 43.23554134300048),56,CAN,CAN02,,NMBR,OVERALL,,,,
2016,2020,AZ,Arizona,US Cancer DVT,"Lung and bronchial cancer mortality among all people, underlying cause",,Number,Number,1408.0,1408.0,,,0.0,0.0,Sex,Male,,,,,POINT (-111.76381127699972 34.865970280000454),4,CAN,CAN04,,NMBR,SEX,,,,
2016,2020,CA,California,US Cancer DVT,"Breast cancer mortality among all females, underlying cause",,Number,Number,4503.0,4503.0,,,0.0,0.0,Overall,Overall,,,,,POINT (-120.99999953799971 37.63864012300047),6,CAN,CAN02,,NMBR,OVERALL,,,,
2016,2020,CA,California,US Cancer DVT,"Cervical cancer mortality among all females, underlying cause",,Number,Number,484.0,484.0,,,0.0,0.0,Sex,Female,,,,,POINT (-120.99999953799971 37.63864012300047),6,CAN,CAN03,,NMBR,SEX,,,,
